BOR;AN;FI;FI_EJ;EQUIPSSR;SANSEQ;EQPL;EQAU
SSR2;2019;030000079;030780100;SIMESP;;1;
SSR2;2019;030000079;030780100;STICON;1;;
SSR2;2019;030000079;030780100;VEHADP;1;;
SSR2;2019;030000087;030780118;APTAUT;1;;
SSR2;2019;030000087;030780118;ASSMAR;1;;
SSR2;2019;030000087;030780118;ASSMEM;1;;
SSR2;2019;030000087;030780118;EXPEQU;;1;
SSR2;2019;030000087;030780118;EXPURO;1;;
SSR2;2019;030000087;030780118;IDRACH;1;;
SSR2;2019;030000087;030780118;ISOCIN;1;;
SSR2;2019;030000087;030780118;LABMAR;1;;
SSR2;2019;030000087;030780118;PISCIN;1;;
SSR2;2019;030000087;030780118;SALINT;1;;
SSR2;2019;030000087;030780118;SIMESP;;1;
SSR2;2019;030000087;030780118;STICON;1;;
SSR2;2019;030000087;030780118;VEHADP;1;;
SSR2;2019;030000095;030780126;APTAUT;1;;
SSR2;2019;030000095;030780126;ASSMAR;1;;
SSR2;2019;030000095;030780126;ASSMEM;1;;
